Country,Played,Wins,Draws,Losses,Goals_For,Goals_Against,Points,Best_finish
Brazil,104,70,17,17,221,102,227,Winner
Germany,106,66,20,20,224,121,218,Winner
Italy,83,45,21,17,128,77,156,Winner
Argentina,77,42,14,21,131,84,140,Winner
Spain,59,29,12,18,92,66,99,Winner
England,62,26,20,16,79,56,98,Winner
France,59,28,12,19,106,71,96,Winner
Netherlands,50,27,12,11,86,48,93,Runner-up
Uruguay,51,20,12,19,80,71,72,Winner
Sweden,46,16,13,17,74,69,61,Runner-up
Russia,40,17,8,15,66,47,59,Fourth Place
Serbia,43,17,8,18,64,59,59,Fourth Place
Mexico,53,14,14,25,57,92,56,Quarter-finals
Belgium,41,14,9,18,52,66,51,Fourth Place
Poland,31,15,5,11,44,40,50,Third Place
Hungary,32,15,3,14,87,57,48,Runner-up
Portugal,26,13,4,9,43,29,43,Third Place
Czech Republic,33,12,5,16,47,49,41,Runner-up
Austria,29,12,4,13,43,47,40,Third Place
Chile,33,11,7,15,40,49,40,Third Place
Switzerland,33,11,6,16,45,59,39,Quarter-finals
Paraguay,27,7,10,10,30,38,31,Quarter-finals
United States,33,8,6,19,37,62,30,Third Place
Romania,21,8,5,8,30,32,29,Quarter-finals
Denmark,16,8,2,6,27,24,26,Quarter-finals
South Korea,31,5,9,17,31,67,24,Fourth Place
Croatia,16,7,2,7,21,17,23,Third Place
Colombia,18,7,2,9,26,27,23,Quarter-finals
Costa Rica,15,5,4,6,17,23,19,Quarter-finals
Scotland,23,4,7,12,25,41,19,First Round
Cameroon,23,4,7,12,18,43,19,Quarter-finals
Nigeria,18,5,3,10,20,26,18,Second Round
Bulgaria,26,3,8,15,22,53,17,Fourth Place
Turkey,10,5,1,4,20,17,16,Third Place
Japan,17,4,4,9,14,22,16,Second Round
Ghana,12,4,3,5,13,16,15,Quarter-finals
Peru,15,4,3,8,19,31,15,Quarter-finals
Republic of Ireland,13,2,8,3,10,10,14,Quarter-finals
Northern Ireland,13,3,5,5,13,23,14,Quarter-finals
Ecuador,10,4,1,5,10,11,13,Second Round
Algeria,13,3,3,7,13,19,12,Second Round
Ivory Coast,9,3,1,5,13,14,10,First Round
South Africa,9,2,4,3,11,16,10,First Round
Morocco,13,2,4,7,12,18,10,Second Round
Norway,8,2,3,3,7,8,9,Second Round
Australia,13,2,3,8,11,26,9,Second Round
Senegal,5,2,2,1,7,6,8,Quarter-finals
East Germany,6,2,2,2,5,5,8,Quarter-finals
Greece,10,2,2,6,5,20,8,Second Round
Saudi Arabia,13,2,2,9,9,32,8,Second Round
Ukraine,5,2,1,2,5,7,7,Quarter-finals
Tunisia,12,1,4,7,8,17,7,First Round
Wales,5,1,3,1,4,4,6,Quarter-finals
Iran,12,1,3,8,7,22,6,First Round
Cuba,3,1,1,1,5,12,4,Quarter-finals
Slovakia,4,1,1,2,5,7,4,Second Round
Slovenia,6,1,1,4,5,10,4,First Round
North Korea,7,1,1,5,6,21,4,Quarter-finals
Bosnia and Herzegovina,3,1,0,2,4,4,3,First Round
Jamaica,3,1,0,2,3,9,3,First Round
New Zealand,6,0,3,3,4,14,3,First Round
Honduras,9,0,3,6,3,14,3,First Round
Angola,3,0,2,1,1,2,2,First Round
Israel,3,0,2,1,1,3,2,First Round
Egypt,4,0,2,2,3,6,2,First Round
Kuwait,3,0,1,2,2,6,1,First Round
Trinidad and Tobago,3,0,1,2,0,4,1,First Round
Bolivia,6,0,1,5,1,20,1,First Round
Iraq,3,0,0,3,1,4,0,First Round
Togo,3,0,0,3,1,6,0,First Round
Canada,3,0,0,3,0,5,0,First Round
Dutch East Indies,1,0,0,1,0,6,0,First Round
United Arab Emirates,3,0,0,3,2,11,0,First Round
China PR,3,0,0,3,0,9,0,First Round
Haiti,3,0,0,3,2,14,0,First Round
Zaire,3,0,0,3,0,14,0,First Round
El Salvador,6,0,0,6,1,22,0,First Round
