name,rank,year,homeruns
Giancarlo Stanton,1,2017,57
Aaron Judge,2,2017,48
J.D. Martinez,3,2017,43
Khris Davis,4,2017,41
Cody Bellinger,5,2017,39
Justin Smoak,6,2017,38
Joey Gallo,6,2017,38
Edwin Encarnacion,8,2017,37
Mike Moustakas,8,2017,37
Logan Morrison,8,2017,37
Nelson Cruz,8,2017,37
Mark Trumbo,1,2016,47
Nelson Cruz,2,2016,43
Brian Dozier,3,2016,42
Khris Davis,3,2016,42
Edwin Encarnacion,3,2016,42
Nolan Arenado,6,2016,41
Chris Carter,6,2016,41
Todd Frazier,8,2016,40
Robinson Cano,9,2016,39
Kris Bryant,9,2016,39
Chris Davis,1,2015,47
Nelson Cruz,2,2015,44
Nolan Arenado,3,2015,42
Bryce Harper,3,2015,42
Mike Trout,5,2015,41
Josh Donaldson,5,2015,41
Jose Bautista,7,2015,40
Albert Pujols,7,2015,40
Carlos Gonzalez,7,2015,40
Edwin Encarnacion,10,2015,39
Nelson Cruz,1,2014,40
Chris Carter,2,2014,37
Giancarlo Stanton,2,2014,37
Jose Abreu,4,2014,36
Mike Trout,4,2014,36
David Ortiz,6,2014,35
Jose Bautista,6,2014,35
Edwin Encarnacion,8,2014,34
Anthony Rizzo,9,2014,32
Victor Martinez,9,2014,32
Chris Davis,1,2013,53
Miguel Cabrera,2,2013,44
Pedro Alvarez,3,2013,36
Paul Goldschmidt,3,2013,36
Edwin Encarnacion,3,2013,36
Adam Dunn,6,2013,34
Alfonso Soriano,6,2013,34
Mark Trumbo,6,2013,34
Adam Jones,9,2013,33
Evan Longoria,10,2013,32
Miguel Cabrera,1,2012,44
Curtis Granderson,2,2012,43
Josh Hamilton,2,2012,43
Edwin Encarnacion,4,2012,42
Ryan Braun,5,2012,41
Adam Dunn,5,2012,41
Giancarlo Stanton,7,2012,37
Adrian Beltre,8,2012,36
Josh Willingham,9,2012,35
Jay Bruce,10,2012,34
Jose Bautista,1,2011,43
Curtis Granderson,2,2011,41
Matt Kemp,3,2011,39
Mark Teixeira,3,2011,39
Prince Fielder,5,2011,38
Mark Reynolds,6,2011,37
Albert Pujols,6,2011,37
Dan Uggla,8,2011,36
Giancarlo Stanton,9,2011,34
Ryan Braun,10,2011,33
Ryan Howard,10,2011,33
Jose Bautista,1,2010,54
Albert Pujols,2,2010,42
Paul Konerko,3,2010,39
Miguel Cabrera,4,2010,38
Adam Dunn,4,2010,38
Joey Votto,6,2010,37
Carlos Gonzalez,7,2010,34
Mark Teixeira,8,2010,33
Dan Uggla,8,2010,33
David Ortiz,10,2010,32
Mark Reynolds,10,2010,32
Prince Fielder,10,2010,32
Josh Hamilton,10,2010,32
Albert Pujols,1,2009,47
Prince Fielder,2,2009,46
Ryan Howard,3,2009,45
Mark Reynolds,4,2009,44
Adrian Gonzalez,5,2009,40
Mark Teixeira,6,2009,39
Carlos Pena,6,2009,39
Adam Dunn,8,2009,38
Aaron Hill,9,2009,36
Jason Bay,9,2009,36
Jayson Werth,9,2009,36
Ryan Howard,1,2008,48
Adam Dunn,2,2008,40
Carlos Delgado,3,2008,38
Manny Ramirez,4,2008,37
Miguel Cabrera,4,2008,37
Ryan Ludwick,4,2008,37
Albert Pujols,4,2008,37
Ryan Braun,4,2008,37
Adrian Gonzalez,9,2008,36
Carlos Quentin,9,2008,36
Alex Rodriguez,1,2007,54
Prince Fielder,2,2007,50
Ryan Howard,3,2007,47
Carlos Pena,4,2007,46
Adam Dunn,5,2007,40
Matt Holliday,6,2007,36
David Ortiz,7,2007,35
Jim Thome,7,2007,35
Ryan Braun,9,2007,34
Lance Berkman,9,2007,34
Miguel Cabrera,9,2007,34
Ryan Howard,1,2006,58
David Ortiz,2,2006,54
Albert Pujols,3,2006,49
Alfonso Soriano,4,2006,46
Lance Berkman,5,2006,45
Jermaine Dye,6,2006,44
Jim Thome,7,2006,42
Travis Hafner,7,2006,42
Andruw Jones,9,2006,41
Carlos Beltran,9,2006,41
Andruw Jones,1,2005,51
Alex Rodriguez,2,2005,48
David Ortiz,3,2005,47
Derrek Lee,4,2005,46
Manny Ramirez,5,2005,45
Mark Teixeira,6,2005,43
Albert Pujols,7,2005,41
Paul Konerko,8,2005,40
Adam Dunn,8,2005,40
Richie Sexson,10,2005,39
Adrian Beltre,1,2004,48
Albert Pujols,2,2004,46
Adam Dunn,2,2004,46
Barry Bonds,4,2004,45
Manny Ramirez,5,2004,43
Jim Edmonds,6,2004,42
Jim Thome,6,2004,42
Paul Konerko,8,2004,41
David Ortiz,8,2004,41
Vladimir Guerrero,10,2004,39
Moises Alou,10,2004,39
Jim Thome,1,2003,47
Alex Rodriguez,1,2003,47
