name,mass,radius,habital_zone_distance
Kepler-9 d,0.02,2,-2.42
PSR 1257 12 b,0.02,0.31,-2.31
Kepler-37 b,0.02,0.32,-2.16
Mercury,0.06,0.38,-1.71
KIC-12557548 b,0.1,0.85,-2.26
Mars,0.11,0.53,0.5
Kepler-62 c,0.12,0.54,-2.01
Kepler-42 d,0.14,0.57,-1.72
KOI-82 d,0.26,0.69,-2.14
Kepler-141 b,0.27,0.69,-2.26
Kepler-378 c,0.27,0.69,-1.69
Kepler-124 b,0.31,0.73,-2.24
Kepler-42 c,0.31,0.73,-2
KOI-1843 b,0.32,0.58,-2.19
Kepler-345 b,0.32,0.74,-2.03
Kepler-125 c,0.32,0.74,-1.9
Kepler-37 c,0.34,0.75,-2.05
Kepler-378 b,0.34,0.75,-1.91
Kepler-390 c,0.39,0.78,-2.11
Kepler-42 b,0.39,0.78,-1.83
Kepler-220 b,0.43,0.81,-2.16
Kepler-388 b,0.43,0.81,-2.16
Kepler-70  b,0.45,0.76,-2.62
Kepler-390 b,0.45,0.82,-2.22
Kepler-314 b,0.47,0.83,-2.35
Kepler-352 b,0.53,0.86,-2.17
Kepler-388 c,0.53,0.86,-1.89
Kepler-20 e,0.56,0.87,-2.33
Kepler-271 b,0.58,0.88,-2.32
Kepler-387 c,0.58,0.88,-2.29
Kepler-362 b,0.58,0.88,-2.24
Kepler-303 b,0.58,0.88,-2.1
Kepler-353 b,0.58,0.88,-1.91
Kepler-68 c,0.63,0.91,-2.34
Kepler-197 e,0.63,0.91,-2.23
Kepler-119 c,0.66,0.92,-2.34
Kepler-70 c,0.67,0.87,-2.62
Kepler-398 b,0.68,0.93,-2.13
Kepler-296 b,0.71,0.94,-2.09
Kepler-399 b,0.77,0.96,-2.13
Kepler-220 d,0.8,0.97,-1.7
Venus,0.81,0.95,-1.06
Kepler-381 b,0.83,0.99,-2.44
Kepler-392 b,0.86,1,-2.4
Kepler-271 c,0.86,1,-2.28
KOI-2700 b,0.86,1.06,-2.24
Kepler-322 b,0.89,1.01,-2.37
Kepler-282 b,0.89,1.01,-2.33
Kepler-20 f,0.89,1.01,-2.19
Kepler-398 c,0.89,1.01,-1.93
Kepler-336 b,0.92,1.02,-2.44
Kepler-197 b,0.92,1.02,-2.4
Kepler-130 b,0.92,1.02,-2.36
Kepler-374 b,0.96,1.03,-2.44
Kepler-387 b,0.96,1.03,-2.35
Kepler-395 b,0.96,1.03,-1.97
Kepler-327 c,0.96,1.03,-1.91
Earth,1,1,-0.52
Kepler-138 c,1.01,1.61,-1.41
Kepler-163 b,1.03,1.05,-2.31
Kepler-376 b,1.07,1.06,-2.4
Kepler-107 d,1.07,1.06,-2.37
Kepler-316 b,1.07,1.06,-2.14
Kepler-115 b,1.14,1.09,-2.44
alf Cen B b,1.14,1.09,-2.31
Kepler-212 b,1.14,1.09,-2.31
Kepler-332 c,1.14,1.09,-2
Kepler-249 b,1.14,1.09,-1.94
Kepler-374 c,1.18,1.1,-2.41
Kepler-392 c,1.18,1.1,-2.34
Kepler-59 b,1.18,1.1,-2.31
Kepler-307 c,1.21,2.8,-2.23
Kepler-327 b,1.23,1.11,-2.04
Kepler-124 d,1.23,1.11,-1.75
Kepler-333 c,1.23,1.11,-1.53
Kepler-186f,1.23,1.11,0.45
Kepler-381 c,1.27,1.12,-2.38
Kepler-334 b,1.27,1.12,-2.37
Kepler-285 c,1.27,1.12,-2.27
Kepler-384 b,1.27,1.12,-2.11
Kepler-250 b,1.31,1.13,-2.27
Kepler-169 b,1.31,1.13,-2.26
Kepler-369 b,1.31,1.13,-1.98
Kepler-384 c,1.31,1.13,-1.9
Kepler-320 b,1.35,1.14,-2.42
Kepler-324 b,1.35,1.14,-2.27
Kepler-186 b,1.35,1.14,-2.03
Kepler-303 c,1.35,1.14,-1.87
Kepler-363 b,1.4,1.15,-2.39
Kepler-135 c,1.4,1.15,-2.36
Kepler-339 c,1.4,1.15,-2.28
Kepler-316 c,1.4,1.15,-1.95
Kepler-185 b,1.45,1.16,-2.34
Kepler-339 d,1.45,1.16,-2.23
Kepler-332 b,1.45,1.16,-2.15
Kepler-295 c,1.45,1.16,-2.13
Kepler-341 b,1.49,1.18,-2.39
