v_id,lng,lat,type,voltage,frequency,wkt_srid_4326
23470,-90.04042678,38.73867096,joint,345000,60,SRID=4326;POINT(-90.0404267803716 38.7386709600085)
16854,-93.89589365,49.06432045,substation,,,SRID=4326;POINT(-93.8958936452349 49.0643204494094)
25563,-75.15960889,40.70701009,joint,230000;69000,,SRID=4326;POINT(-75.15960889129 40.7070100889546)
6044,-78.8398727,42.78966649,sub_station,,,SRID=4326;POINT(-78.8398726969668 42.7896664868582)
8477,-94.63896918,47.37904235,substation,,,SRID=4326;POINT(-94.6389691818178 47.3790423460162)
30911,-81.26797174,37.70235039,joint,,,SRID=4326;POINT(-81.2679717365543 37.7023503883863)
26853,-87.22559509,30.57118902,joint,230000,60,SRID=4326;POINT(-87.225595093961 30.5711890245163)
10060,-86.47724827,31.40097471,station,,,SRID=4326;POINT(-86.4772482680929 31.4009747129504)
2930,-74.92060904,40.68160045,substation,,,SRID=4326;POINT(-74.9206090414964 40.6816004472668)
9424,-94.03878139,45.56910623,station,,,SRID=4326;POINT(-94.0387813907092 45.5691062278177)
14469,-120.5861365,35.04695759,substation,,,SRID=4326;POINT(-120.586136482858 35.0469575869802)
8456,-97.26004817,33.21940626,substation,138000,60,SRID=4326;POINT(-97.260048166895 33.2194062589518)
29373,-94.27502769,45.54347338,merge,,,SRID=4326;POINT(-94.2750276914452 45.5434733829059)
27733,-150.0243422,61.76439767,joint,,,SRID=4326;POINT(-150.024342197307 61.7643976745039)
10073,-86.05982629,30.99405112,station,,,SRID=4326;POINT(-86.0598262861167 30.9940511179111)
1723,-73.8580704,40.93941425,substation,345000;138000,60,SRID=4326;POINT(-73.858070400934 40.9394142494805)
6312,-82.53193033,38.35189505,sub_station,,,SRID=4326;POINT(-82.531930328513 38.3518950466496)
4325,-81.03287194,44.1677198,sub_station,,,SRID=4326;POINT(-81.0328719384291 44.1677198011827)
420,-89.93758568,30.00967904,substation,230000,,SRID=4326;POINT(-89.9375856750661 30.0096790405467)
27299,-100.6180632,21.24502711,joint,230000,60,SRID=4326;POINT(-100.618063199736 21.2450271136173)
608,-92.39876339,34.75330801,station,,,SRID=4326;POINT(-92.3987633870829 34.7533080066378)
24099,-91.15173019,30.42250698,joint,230000;69000,60,SRID=4326;POINT(-91.1517301929046 30.4225069779962)
992,-120.1275118,47.34989297,sub_station,,,SRID=4326;POINT(-120.127511750617 47.3498929670495)
19978,-76.11299827,44.71591478,joint,,,SRID=4326;POINT(-76.1129982685114 44.7159147829815)
14214,-81.83491486,27.90855509,substation,230000;69000,60,SRID=4326;POINT(-81.8349148623344 27.9085550867931)
1260,-94.86313905,38.94282446,sub_station,,,SRID=4326;POINT(-94.8631390531854 38.9428244600656)
1860,-78.45042437,40.31377808,sub_station,,,SRID=4326;POINT(-78.4504243659519 40.3137780837466)
18154,-85.27913587,34.84999299,joint,,,SRID=4326;POINT(-85.2791358669566 34.8499929898487)
3389,-124.010773,44.00746721,station,,,SRID=4326;POINT(-124.010772992787 44.0074672090325)
6678,-79.78078871,36.12249068,substation,,,SRID=4326;POINT(-79.780788710631 36.1224906799518)
9228,-74.07086493,40.33904886,station,,,SRID=4326;POINT(-74.0708649334476 40.3390488605894)
15139,-91.00485417,30.38781322,substation,69000,60,SRID=4326;POINT(-91.0048541652668 30.3878132201965)
19370,-122.1758193,47.80821817,joint,230000,,SRID=4326;POINT(-122.175819284486 47.8082181691919)
3281,-96.23688984,19.15079817,station,,,SRID=4326;POINT(-96.2368898358396 19.1507981712372)
4020,-94.57577602,38.95708431,substation,,,SRID=4326;POINT(-94.5757760186999 38.9570843091394)
28654,-88.85990783,37.21446361,merge,,,SRID=4326;POINT(-88.8599078274162 37.2144636124175)
21106,-112.2723993,33.79888188,joint,500000;230000;500000;230000,60,SRID=4326;POINT(-112.272399298068 33.7988818793401)
30378,-78.91253963,42.97568123,joint,,,SRID=4326;POINT(-78.9125396252294 42.9756812264918)
29421,-92.13585362,34.42294078,merge,,,SRID=4326;POINT(-92.1358536177907 34.4229407782524)
19256,-122.3809973,38.15264436,joint,,,SRID=4326;POINT(-122.380997280156 38.1526443596662)
8467,-96.35077414,32.96925166,substation,345000;138000;69000,60,SRID=4326;POINT(-96.3507741365716 32.9692516588946)
8916,-83.14530289,42.93977238,sub_station,,,SRID=4326;POINT(-83.1453028865683 42.939772380848)
11349,-95.36973421,29.94062635,substation,345000;138000;35000,60,SRID=4326;POINT(-95.3697342068093 29.9406263524671)
2107,-114.8466697,35.97807349,sub_station,,,SRID=4326;POINT(-114.846669717168 35.9780734943749)
22669,-86.31076653,32.29928547,joint,230000,60,SRID=4326;POINT(-86.3107665291311 32.2992854708289)
3816,-104.6257337,38.90868081,substation,,,SRID=4326;POINT(-104.625733672866 38.9086808071388)
30950,-80.83217761,35.56590849,joint,230000,,SRID=4326;POINT(-80.8321776118121 35.5659084947604)
20755,-96.23515939,29.0276126,joint,345000,60,SRID=4326;POINT(-96.2351593926561 29.0276126014297)
335,-121.4863857,38.65030191,station,,,SRID=4326;POINT(-121.486385741376 38.6503019093505)
4579,-111.9811603,33.68096154,substation,,,SRID=4326;POINT(-111.981160270129 33.6809615412099)
6191,-80.78070746,34.17905717,station,,,SRID=4326;POINT(-80.7807074566978 34.1790571721021)
28314,-105.1511048,39.73319659,merge,,,SRID=4326;POINT(-105.151104791605 39.7331965870122)
16151,-113.1589646,37.80057411,substation,,,SRID=4326;POINT(-113.158964642492 37.8005741082087)
18672,-83.1916159,37.23515196,joint,,,SRID=4326;POINT(-83.1916158976859 37.2351519578932)
19232,-121.4284112,38.58596016,joint,230000,,SRID=4326;POINT(-121.428411176462 38.5859601626222)
14593,-82.51628436,34.80968467,substation,,,SRID=4326;POINT(-82.5162843564648 34.8096846689987)
6090,-78.390113,42.07319286,substation,,,SRID=4326;POINT(-78.390112996764 42.0731928577492)
19165,-122.5921308,38.40006936,joint,230000,60,SRID=4326;POINT(-122.592130836666 38.4000693644804)
10279,-90.05412674,32.58569651,station,,,SRID=4326;POINT(-90.0541267422071 32.5856965083756)
14613,-82.29366257,46.21321477,sub_station,,,SRID=4326;POINT(-82.2936625733395 46.2132147690098)
28307,-82.70294171,34.54274058,merge,,,SRID=4326;POINT(-82.7029417060365 34.5427405816103)
31172,-111.0633497,47.49673307,joint,230000,60,SRID=4326;POINT(-111.063349662897 47.4967330734086)
20305,-81.62706005,41.44723282,joint,345000,60,SRID=4326;POINT(-81.6270600525336 41.4472328163312)
3729,-110.6004612,41.75847559,station,,,SRID=4326;POINT(-110.600461173747 41.7584755926338)
21979,-73.11637578,41.77616517,joint,115000,,SRID=4326;POINT(-73.1163757756949 41.7761651690836)
18300,-81.06390692,33.78899099,joint,,,SRID=4326;POINT(-81.0639069195713 33.7889909850619)
3424,-108.7900574,41.73422231,station,,,SRID=4326;POINT(-108.790057401076 41.7342223070526)
6243,-97.02955652,49.86954904,sub_station,,,SRID=4326;POINT(-97.0295565150895 49.8695490355238)
14181,-112.2732009,33.52213458,substation,,,SRID=4326;POINT(-112.273200871804 33.5221345812205)
2304,-73.84177282,41.59721028,substation,115000,60,SRID=4326;POINT(-73.8417728165621 41.5972102826092)
23231,-111.9118576,33.42877679,joint,230000,60,SRID=4326;POINT(-111.911857584178 33.4287767886866)
19277,-79.82523066,43.56153069,joint,500000,,SRID=4326;POINT(-79.8252306642507 43.5615306934544)
8311,-83.88496415,33.6619441,sub_station,,,SRID=4326;POINT(-83.8849641494215 33.6619440988547)
26073,-88.43027991,44.73419478,joint,,,SRID=4326;POINT(-88.4302799074142 44.7341947767219)
24878,-81.77785081,26.70119816,joint,230000,,SRID=4326;POINT(-81.7778508069682 26.7011981590864)
15707,-104.69084,38.3456143,substation,,,SRID=4326;POINT(-104.690839990315 38.3456143045049)
17722,-64.9729165,47.04112491,sub_station,,,SRID=4326;POINT(-64.9729164987973 47.041124911492)
134,-117.5552074,33.36866457,plant,,,SRID=4326;POINT(-117.555207395412 33.3686645652453)
9740,-101.8549093,33.51860964,substation,,,SRID=4326;POINT(-101.854909253968 33.5186096375001)
1792,-81.45468189,28.62299042,sub_station,,,SRID=4326;POINT(-81.4546818878385 28.6229904231286)
29101,-103.5709631,25.49375578,merge,,,SRID=4326;POINT(-103.570963106503 25.4937557834144)
11535,-83.65298796,42.85772256,station,,,SRID=4326;POINT(-83.6529879612582 42.857722564796)
8017,-112.9773385,44.9884049,sub_station,,,SRID=4326;POINT(-112.977338451866 44.9884049046432)
