Afghanistan,8145,187
Albania,964,31
Algeria,7542,568
Andorra,762,51
Angola,52,3
Antigua and Barbuda,25,3
Argentina,9283,403
Armenia,5271,67
Australia,7081,100
Austria,16353,633
Azerbaijan,3631,43
Bahamas,97,11
Bahrain,7888,12
Bangladesh,26738,386
Barbados,90,7
Belarus,32426,179
Belgium,55983,9150
Benin,130,2
Bhutan,21,0
Bolivia,4919,199
Bosnia and Herzegovina,2338,136
Brazil,291579,18859
Brunei,141,1
Bulgaria,2292,116
Burkina Faso,809,52
Cabo Verde,349,3
Cambodia,122,0
Cameroon,3733,146
Canada,81558,6149
Central African Republic,418,0
Chad,565,57
Chile,53617,544
China,84503,4645
Colombia,17687,630
Congo (Brazzaville),420,15
Congo (Kinshasa),1731,61
Costa Rica,897,10
Cote d'Ivoire,2231,29
Croatia,2234,96
Diamond Princess,712,13
Cuba,1900,79
Cyprus,922,17
Czechia,8721,304
Denmark,11117,554
Djibouti,1828,9
Dominican Republic,13477,446
Ecuador,34854,2888
Egypt,14229,680
El Salvador,1571,31
Equatorial Guinea,890,7
Eritrea,39,0
Estonia,1794,64
Eswatini,217,2
Ethiopia,389,5
Fiji,18,0
Finland,6443,304
France,179069,28084
Gabon,1567,12
Gambia,24,1
Georgia,713,12
Germany,178473,8144
Ghana,6269,31
Greece,2850,166
Guatemala,2265,45
Guinea,2863,18
Guyana,125,10
Haiti,596,22
Holy See,12,0
Honduras,2955,147
Hungary,3598,470
Iceland,1803,10
India,112028,3434
Indonesia,19189,1242
Iran,126949,7183
Iraq,3724,134
Ireland,24315,1571
Israel,16667,279
Italy,227364,32330
Jamaica,529,9
Japan,16367,768
Jordan,672,9
Kazakhstan,6969,35
Kenya,1029,50
Korea South,11122,264
Kuwait,17568,124
Kyrgyzstan,1270,14
Latvia,1016,21
Lebanon,961,26
Liberia,238,23
Liechtenstein,82,1
Lithuania,1577,60
Luxembourg,3971,109
Madagascar,371,2
Malaysia,7009,114
Maldives,1186,4
Malta,584,6
Mauritania,141,4
Mauritius,332,10
Mexico,56594,6090
Moldova,6553,228
Monaco,97,4
Mongolia,140,0
Montenegro,324,9
Morocco,7133,194
Namibia,16,0
Nepal,427,2
Netherlands,44447,5748
New Zealand,1503,21
Nicaragua,254,17
Niger,920,58
Nigeria,6677,200
North Macedonia,1858,110
Norway,8281,234
Oman,6043,30
Pakistan,45898,985
Panama,9977,287
Papua New Guinea,8,0
Paraguay,833,11
Peru,104020,3024
Philippines,13221,842
Poland,19739,962
Portugal,29660,1263
Qatar,37097,16
Romania,17387,1147
Russia,308705,2972
Rwanda,314,0
Saint Lucia,18,0
Saint Vincent and the Grenadines,18,0
San Marino,656,41
Saudi Arabia,62545,339
Senegal,2714,30
Serbia,10833,235
Seychelles,11,0
Singapore,29364,22
Slovakia,1496,28
Slovenia,1468,105
Somalia,1573,61
South Africa,18003,339
Spain,232555,27888
Sri Lanka,1028,9
Sudan,2728,111
Suriname,11,1
Sweden,31523,3831
Switzerland,30658,1892
Tanzania,509,21
Thailand,3034,56
Togo,340,12
Trinidad and Tobago,116,8
Tunisia,1045,47
Turkey,152587,4222
Uganda,264,0
Ukraine,19230,564
United Arab Emirates,26004,233
United Kingdom,248293,35704
Uruguay,746,20
US,1551853,93439
Uzbekistan,2939,13
Venezuela,824,10
Vietnam,324,0
Zambia,832,7
Zimbabwe,48,4
Dominica,16,0
Grenada,22,0
Mozambique,156,0
Syria,58,3
Timor-Leste,24,0
Belize,18,2
Laos,19,0
Libya,69,3
West Bank and Gaza,398,2
Guinea-Bissau,1089,6
Mali,931,55
Saint Kitts and Nevis,15,0
Kosovo,989,29
Burma,199,6
MS Zaandam,9,2
Botswana,25,1
Burundi,42,1
Sierra Leone,570,34
Malawi,71,3
South Sudan,290,4
Western Sahara,6,0
Sao Tome and Principe,251,8
Yemen,184,30
Comoros,34,1
Tajikistan,2140,41
Lesotho,1,0
