Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0,0.0,0,0.0,74,3109.404167,0.009459459,0.042859175,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,0,0
16,180.66666669999998,1,649.25,113,8041.5888700000005,0.007936508,0.026808161,0.0,0.0,Dec,2,6,7,1,Returning_Visitor,0,0
9,186.6730769,0,0.0,73,1606.30825,0.010295359,0.019108884,0.0,0.0,Nov,3,2,8,2,Returning_Visitor,1,0
0,0.0,0,0.0,2,0.0,0.2,0.2,0.0,0.0,Nov,3,2,5,20,Returning_Visitor,0,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,1.0,May,4,1,2,3,Returning_Visitor,1,0
1,7.0,4,364.9166667,248,7445.957075,0.0043160690000000005,0.015735624,1.26665917,0.0,Nov,2,2,1,2,Returning_Visitor,0,1
4,130.5,2,51.0,43,2265.5292210000002,0.004,0.004,14.792,0.0,May,3,2,4,2,Returning_Visitor,0,0
0,0.0,0,0.0,42,602.8833333,0.0,0.004365079,21.26632526,0.0,Sep,6,2,3,1,Returning_Visitor,0,0
0,0.0,0,0.0,80,1566.333333,0.005,0.027916667000000003,0.720181023,0.0,Sep,2,2,6,1,Returning_Visitor,0,1
0,0.0,0,0.0,2,3.0,0.0,0.1,0.0,0.6,May,2,10,3,1,Returning_Visitor,0,0
4,49.2,0,0.0,3,22.0,0.0,0.025,0.0,0.0,Nov,2,2,3,2,New_Visitor,0,1
5,473.16666669999995,2,195.4,111,4022.8121479999995,0.003571429,0.012351425,0.0,0.0,Aug,3,2,9,5,Returning_Visitor,0,0
7,105.75,0,0.0,124,3394.1301590000003,0.001587302,0.012918871,5.921482086,0.0,May,2,2,3,11,Returning_Visitor,1,0
2,115.8888889,2,45.5,26,1198.0241449999999,0.0038888890000000004,0.03,14.50274386,0.0,Nov,3,2,1,2,Returning_Visitor,0,0
9,546.0,0,0.0,28,1561.083333,0.01,0.03,3.8105752839999996,0.0,Mar,2,2,7,10,Returning_Visitor,0,1
2,26.2,0,0.0,4,487.6,0.0,0.025,0.0,0.0,Sep,2,2,1,4,Returning_Visitor,0,0
3,58.06666667,0,0.0,5,86.0,0.0,0.0125,0.0,0.0,Mar,3,2,2,3,New_Visitor,0,0
0,0.0,0,0.0,5,214.0,0.0,0.04,0.0,0.0,May,3,2,8,1,Returning_Visitor,0,0
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Nov,2,2,6,10,Returning_Visitor,0,0
0,0.0,0,0.0,2,150.6,0.0,0.033333333,0.0,0.0,Oct,2,2,3,5,Returning_Visitor,0,0
0,0.0,0,0.0,47,3650.316667,0.0,0.003333333,97.19657367,0.0,Nov,2,2,1,10,Returning_Visitor,0,1
0,0.0,0,0.0,2,63.5,0.0,0.1,0.0,0.0,Nov,2,4,1,1,Returning_Visitor,0,0
8,205.25,0,0.0,155,4502.511111,0.000176367,0.010885984,3.801288988,0.0,Nov,2,2,1,6,Returning_Visitor,0,1
0,0.0,0,0.0,18,211.41666669999998,0.033333333,0.061111110999999996,0.0,0.0,Nov,2,2,5,3,Returning_Visitor,1,0
2,7.0,0,0.0,40,906.4,0.0,0.015238095,0.0,0.0,Oct,2,2,9,4,Returning_Visitor,0,0
0,0.0,0,0.0,25,686.5,0.016,0.032,0.0,0.0,Dec,2,2,7,1,Returning_Visitor,1,0
0,0.0,1,3.0,39,1174.666667,0.01,0.040833333,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,0,0
0,0.0,0,0.0,21,1129.0,0.00952381,0.038095238,0.0,0.0,Mar,2,5,5,1,Returning_Visitor,0,0
3,24.0,0,0.0,35,529.2916667,0.0,0.021621622000000004,0.0,0.0,Nov,2,2,1,1,Returning_Visitor,0,0
3,102.6,0,0.0,35,871.8333332999998,0.0,0.002631579,0.0,0.0,Oct,1,1,1,2,New_Visitor,1,0
12,244.25,0,0.0,110,4006.3593140000003,0.01,0.030496867,11.10333103,0.0,Nov,2,7,1,1,Returning_Visitor,0,0
0,0.0,0,0.0,2,44.0,0.0,0.05,0.0,0.0,Mar,2,4,1,3,Returning_Visitor,0,0
2,29.0,1,14.0,106,3825.102381,0.007592593000000001,0.039827675,0.0,1.0,May,2,2,4,3,Returning_Visitor,1,0
1,8.0,1,47.5,46,689.0606061000001,0.002272727,0.012062937,1.1251460640000002,0.0,Nov,2,2,2,11,Returning_Visitor,1,1
6,283.0166667,1,235.75,21,1338.933333,0.0,0.008695652,0.0,0.0,Dec,2,2,7,1,Returning_Visitor,0,0
3,199.75,0,0.0,8,331.4,0.0,0.003333333,0.0,0.0,Mar,3,2,2,10,New_Visitor,0,0
0,0.0,0,0.0,4,103.8,0.1,0.15,0.0,0.0,Jul,1,1,1,1,Returning_Visitor,0,0
12,633.5,0,0.0,28,752.7166667,0.0,0.017027417,0.0,0.0,May,2,2,1,2,Returning_Visitor,1,0
4,365.03333330000004,0,0.0,9,461.7333333000001,0.026666667,0.032991453,33.60744027,0.0,Aug,2,2,1,2,Returning_Visitor,0,0
1,15.0,0,0.0,12,189.66666669999998,0.015384615,0.028205128,0.0,0.0,May,3,2,6,1,Returning_Visitor,0,0
1,13.0,1,53.0,16,388.74444439999996,0.0,0.006666666999999999,0.0,0.0,May,1,1,1,1,Returning_Visitor,0,0
0,0.0,0,0.0,12,94.5,0.033333333,0.025555556,0.0,0.0,Mar,3,2,4,11,Returning_Visitor,0,0
0,0.0,0,0.0,17,557.1666667000001,0.023529412000000003,0.049509804000000004,0.0,0.0,Mar,3,2,1,1,Returning_Visitor,0,0
0,0.0,0,0.0,26,338.2333333,0.024871795,0.078269231,0.0,0.0,May,2,2,2,2,Returning_Visitor,1,0
0,0.0,0,0.0,2,11.0,0.0,0.1,0.0,0.0,Dec,2,2,2,13,Returning_Visitor,0,0
13,442.6,6,164.625,107,4928.927389,0.016774043,0.028505395,1.451867861,0.0,Nov,3,2,1,2,Returning_Visitor,0,1
1,4.0,0,0.0,46,1107.666667,0.005925926,0.020148148,0.0,0.8,May,2,2,2,2,Returning_Visitor,0,0
0,0.0,3,83.0,68,2162.657393,0.006527626999999999,0.02055132,0.0,0.0,Dec,1,2,1,2,Returning_Visitor,0,0
2,132.0,0,0.0,6,1564.0,0.04444444400000001,0.066666667,0.0,0.0,May,3,2,2,13,Returning_Visitor,0,0
8,204.1071429,0,0.0,15,347.73214289999993,0.0,0.012280702,18.08071442,0.0,Nov,1,1,1,2,New_Visitor,0,0
0,0.0,0,0.0,6,199.25,0.0,0.033333333,0.0,0.0,Dec,2,4,1,3,Other,0,0
0,0.0,0,0.0,3,50.0,0.0,0.033333333,0.0,0.0,Mar,2,2,1,2,Returning_Visitor,0,0
0,0.0,1,17.75,65,6203.690476,0.007395833,0.027280667999999998,0.0,0.0,Dec,2,1,1,2,Returning_Visitor,0,0
0,0.0,0,0.0,10,677.6666667000001,0.0,0.022222222000000003,0.0,0.0,Dec,4,1,3,2,New_Visitor,0,0
5,110.95,0,0.0,23,448.25,0.024,0.043333332999999995,0.0,0.0,Nov,3,2,8,11,Returning_Visitor,0,0
4,91.0,0,0.0,12,197.0,0.0,0.0375,0.0,0.0,Nov,2,2,1,2,New_Visitor,0,0
2,279.5,0,0.0,5,426.0,0.0,0.014285714,0.0,0.0,May,1,1,4,2,Returning_Visitor,1,0
0,0.0,0,0.0,8,185.5,0.025,0.0375,0.0,0.0,May,1,1,3,2,Returning_Visitor,1,0
0,0.0,0,0.0,10,423.83333330000005,0.0,0.01,0.0,0.0,Mar,2,2,5,2,Returning_Visitor,0,0
0,0.0,1,0.0,46,2183.8875,0.0,0.010638298000000001,0.0,0.0,Nov,2,2,9,8,Returning_Visitor,0,1
0,0.0,0,0.0,5,24.0,0.0,0.05,0.0,0.2,May,2,2,4,1,Returning_Visitor,0,0
0,0.0,0,0.0,9,143.0,0.055555556,0.12222222199999999,0.0,1.0,May,2,6,1,2,Returning_Visitor,1,0
