Date,NQ,SP,Dow
1/1/2015,4151.5,2019.5,17507
1/8/2015,4145.5,2007.5,17365
1/15/2015,4182.75,2026.5,17491
1/22/2015,4124.25,1991.5,17100
1/29/2015,4204,2030,17568
2/5/2015,4296.5,2065.75,17831
2/12/2015,4386,2095.5,17993
2/19/2015,4436.75,2110.25,18194
2/26/2015,4444.25,2096.5,18086
3/5/2015,4307.5,2039.5,17638
3/12/2015,4427.25,2100.5,18069
3/19/2015,4323.5,2053.75,17649
3/26/2015,4313,2053,17615
4/2/2015,4374.75,2076,17829
4/9/2015,4421.75,2099.75,18022
4/16/2015,4445.25,2100.25,17945
4/23/2015,4479.75,2099,17954
4/30/2015,4373,2074.25,17778
5/7/2015,4423.75,2094.5,18015
5/14/2015,4505.5,2122.5,18256
5/21/2015,4542.25,2121,18141
5/28/2015,4527.5,2116,18096
6/4/2015,4488.75,2107,18018
6/11/2015,4461.25,2097.5,17911
6/18/2015,4515.75,2099.5,17883
6/25/2015,4422,2071,17671
7/2/2015,4346.5,2039.25,17442
7/9/2015,4536.5,2104.25,17992
7/16/2015,4617,2108,17785
7/23/2015,4565,2101.5,17682
7/30/2015,4593.5,2093.75,17475
8/6/2015,4533.5,2084.25,17367
8/13/2015,4503.75,2072.75,17285
8/20/2015,4214.5,1938,16249
8/27/2015,4260,1947,16330
9/3/2015,4255,1942.75,16270
9/10/2015,4391.5,1998.25,16765
9/17/2015,4262.75,1928.5,16187
9/24/2015,4163,1908.75,16172
10/1/2015,4323.75,1987.25,16814
10/8/2015,4326.5,1984,16822
10/15/2015,4399.25,2008.5,17056
10/22/2015,4673.75,2084.5,17702
10/29/2015,4709.5,2094.75,17787
11/5/2015,4631.75,2069,17655
11/12/2015,4652.5,2079.75,17689
11/19/2015,4677.25,2088,17802
11/26/2015,4694.5,2081.5,17758
12/3/2015,4616,2042,17456
12/10/2015,4663,2072,17735
12/17/2015,4606.75,2053,17472
12/24/2015,4646,2054.5,17509
12/31/2015,4446.75,1986,16838
1/7/2016,4175.75,1881.5,16056
1/14/2016,4133,1855,15717
1/21/2016,4127,1875,15851
1/28/2016,4171.5,1908.5,16263
2/4/2016,3967.25,1846.75,15866
2/11/2016,4196.75,1922.75,16413
2/18/2016,4208.5,1930.25,16473
2/25/2016,4329.25,1983.5,16868
3/3/2016,4294.5,1989,17008
3/10/2016,4397.5,2027,17332
3/17/2016,4395.5,2028.75,17426
3/24/2016,4482,2055.25,17622
3/31/2016,4535,2060.25,17628
4/7/2016,4547.75,2076,17828
4/14/2016,4535.75,2098,18037
4/21/2016,4423.75,2090.75,17963
4/28/2016,4309.75,2047,17581
5/5/2016,4351.5,2058,17659
5/12/2016,4332.25,2041.5,17479
5/19/2016,4474.75,2087.25,17817
5/26/2016,4521.5,2098,17779
6/2/2016,4519,2118,17995
6/9/2016,4412.75,2071.75,17646
6/16/2016,4394.5,2076.75,17688
6/23/2016,4362.75,2066.75,17624
6/30/2016,4439.5,2094,17834
7/7/2016,4561.25,2146,18288
7/14/2016,4650.5,2167.5,18531
7/21/2016,4707.75,2160.5,18390
7/28/2016,4728.25,2157,18269
8/4/2016,4781.5,2172.75,18452
8/11/2016,4804,2179.75,18541
8/18/2016,4786.25,2175,18472
8/25/2016,4773.75,2169.5,18395
9/1/2016,4828.75,2184.5,18514
9/8/2016,4732.5,2120.25,18000
9/15/2016,4850,2156.25,18218
9/22/2016,4868.25,2163.25,18238
9/29/2016,4873.5,2153.25,18200
10/6/2016,4813.5,2131.5,18053
10/13/2016,4830.25,2138,18125
10/20/2016,4853.75,2134,18128
10/27/2016,4716.75,2092.25,17881
11/3/2016,4820.5,2160.25,18532
11/10/2016,4783.25,2172.75,18833
11/17/2016,4849.5,2200.75,19054
11/24/2016,4816,2198.75,19132
12/1/2016,4841.75,2236.75,19517
12/8/2016,4931.75,2257,19824
12/15/2016,4949.5,2260.5,19891
12/22/2016,4923.75,2245.25,19775
12/29/2016,4933.5,2264.25,19856
1/5/2017,5046.5,2270.5,19877
1/12/2017,5054.5,2266.5,19735
1/19/2017,5146.5,2294,20003
1/26/2017,5148.5,2274.5,19816
2/2/2017,5191.25,2290.25,20002
2/9/2017,5310,2350.5,20623
2/16/2017,5351,2361,20749
2/23/2017,5386,2393.5,21091
3/2/2017,5363,2364,20868
3/9/2017,5415.25,2383.75,20944
3/16/2017,5365.75,2342.5,20596
3/23/2017,5436,2357,20601
3/30/2017,5416.25,2346.5,20577
4/6/2017,5372.75,2340.75,20516
4/13/2017,5397.75,2333.75,20335
4/20/2017,5536.25,2382.25,20905
4/27/2017,5613.25,2383.25,20879
5/4/2017,5675.5,2395.25,20893
5/11/2017,5578.75,2357.5,20605
5/18/2017,5731.25,2402,20985
5/25/2017,5793.25,2411,21002
6/1/2017,5879.75,2432,21163
6/8/2017,5725.25,2437.25,21371
6/15/2017,5796,2433.5,21378
6/22/2017,5763.5,2438.5,21402
6/29/2017,5651.5,2428,21422
7/6/2017,5785.75,2440,21483
7/13/2017,5918.25,2471.5,21596
7/20/2017,5948,2473.25,21646
7/27/2017,5910.75,2473.5,21957
8/3/2017,5922.5,2473,22018
8/10/2017,5923.5,2467.5,22011
8/17/2017,5848,2441.5,21795
8/24/2017,5935,2455.75,21871
8/31/2017,5955,2465.5,21812
9/7/2017,6002,2496.5,22149
9/14/2017,5978.5,2505.25,22376
9/21/2017,5941,2504.5,22298
9/28/2017,6004,2536.25,22607
10/5/2017,6082.5,2553,22816
10/12/2017,6119.25,2560,23114
10/19/2017,6064.5,2558.5,23301
10/26/2017,6240.75,2574.75,23372
11/2/2017,6341.5,2591,23491
11/9/2017,6266.25,2565,23262
11/16/2017,6389.5,2594.5,23485
11/23/2017,6305.5,2625,23918
11/30/2017,6293,2629.25,24157
12/7/2017,6398.5,2666.5,24627
12/14/2017,6489,2681.5,24739
12/21/2017,6454,2685.5,24788
12/28/2017,6584.5,2711,24878
1/4/2018,6677.25,2750.5,25351
1/11/2018,6823.75,2803.75,26098
1/18/2018,6931.25,2841,26270
1/25/2018,6962.5,2825.75,26136
2/1/2018,6555.75,2668.25,24735
2/8/2018,6687,2697,24863
2/15/2018,6760.5,2698.75,24782
2/22/2018,6865,2714.5,25038
3/1/2018,6924.5,2723.25,24795
3/8/2018,7033.5,2749.75,24770
3/15/2018,6884,2718.25,24727
3/22/2018,6477.25,2607.5,23860
3/29/2018,6582.5,2647,24265
4/5/2018,6592.75,2641,24167
4/12/2018,6843.5,2709.75,24733
4/19/2018,6555.75,2644.5,24078
4/26/2018,6633.5,2627.5,23825
5/3/2018,6896,2696,24502
5/10/2018,6937.25,2723,24740
5/17/2018,6957,2730.75,24859
5/24/2018,6987.25,2724.5,24669
5/31/2018,7215,2772.25,25140
6/7/2018,7204.25,2774.25,25184
6/14/2018,7313.25,2772,24670
6/21/2018,6998.25,2705,24135
6/28/2018,7023.75,2713.25,24163
7/5/2018,7253.75,2774,24689
7/12/2018,7404.5,2816,25161
7/19/2018,7469.5,2841.25,25403
7/26/2018,7277,2810.75,25289
8/2/2018,7471.5,2855.25,25536
8/9/2018,7374,2821.25,25187
8/16/2018,7433.25,2861.25,25717
8/23/2018,7668.75,2914.75,26147
8/30/2018,7531.75,2888.25,25973
9/6/2018,7485.75,2888.5,26014
9/13/2018,7497.5,2910,26434
9/20/2018,7590.25,2911.5,26419
9/27/2018,7664.75,2931.5,26872
10/4/2018,7032,2781,25519
10/11/2018,7313.25,2816.25,25736
10/18/2018,6836.25,2664.25,24616
10/25/2018,6975.5,2711,25077
11/1/2018,7218.5,2816.5,26182
11/8/2018,6768.25,2698.5,25044
11/15/2018,6576.25,2649,24465
11/22/2018,6918.25,2741.5,25344
11/29/2018,6803.25,2701.75,25046
12/6/2018,6769,2652.5,24566
12/13/2018,6334.75,2503.25,23316
12/20/2018,6285.5,2471,22898
12/27/2018,6371,2511,23325
1/3/2019,6604.75,2582.5,23830
1/10/2019,6666.25,2613.25,24151
1/17/2019,6665.25,2638.25,24551
1/24/2019,6837.25,2682.5,24968
1/31/2019,6995.75,2729.5,25327
2/7/2019,7016.25,2749.5,25488
2/14/2019,7073.25,2787,25964
2/21/2019,7121.75,2795,26008
2/28/2019,7111.25,2771.5,25666
3/7/2019,7267.75,2814.5,25735
3/14/2019,7409.5,2827,25729
3/21/2019,7334.5,2810.5,25660
3/28/2019,7582.25,2879.75,26240
4/4/2019,7641.25,2894.5,26166
4/11/2019,7689.75,2900.5,26428
4/18/2019,7847.75,2930.75,26541
4/25/2019,7756.5,2923,26390
5/2/2019,7647.5,2887.25,26014
5/9/2019,7529.25,2855,25674
5/16/2019,7430,2857.5,25771
5/23/2019,7216,2780,25109
5/30/2019,7228.5,2827.75,25558
6/6/2019,7473.25,2881,26012
6/13/2019,7674.25,2929,26529
6/20/2019,7650,2918,26550
6/27/2019,7887.5,3000.25,26970
7/4/2019,7928.75,2997.5,26860
7/11/2019,7885.5,2985,27231
7/18/2019,8038,3021.5,27237
7/25/2019,7866.75,2982.25,26855
8/1/2019,7553.25,2880.5,25940
8/8/2019,7488.75,2840.75,25455
8/15/2019,7750.25,2929.25,26226
8/22/2019,7599.25,2889.75,26037
8/29/2019,7722.75,2938.5,26372
9/5/2019,7889.75,3002,27144
9/12/2019,7894.25,3006.25,27148
9/19/2019,7820.25,2986.25,26958
9/26/2019,7546.25,2880.5,25985
10/3/2019,7699.75,2919,26305
10/10/2019,7948.5,2991.5,26940
10/17/2019,7901.5,3005.75,26802
10/24/2019,8111.25,3047.75,27132
10/31/2019,8207.25,3075.5,27430
11/7/2019,8265.75,3095.5,27761
11/14/2019,8291.75,3109,27800
11/21/2019,8454.75,3153.75,28148
11/28/2019,8295.25,3111,27643
12/5/2019,8405.5,3143,27924
12/12/2019,8590.25,3194.75,28266
12/19/2019,8729.5,3225.75,28508
12/26/2019,8776.5,3238.5,28569
1/2/2020,8944.5,3260.25,28770
1/9/2020,9060,3293.75,29029
1/16/2020,9195.75,3319.75,29140
1/23/2020,9098.5,3272.5,28710
1/30/2020,9381.5,3335,29241
2/6/2020,9625.75,3380.5,29523
2/13/2020,9733.5,3387.25,29337
2/20/2020,8850.25,3110.25,26914
2/27/2020,8896.5,3114.75,26965
3/5/2020,8003.5,2740.25,23575
3/12/2020,7225.25,2414,19981
3/19/2020,7467.75,2467,21026
3/26/2020,7438.75,2448,20740
4/2/2020,8189.75,2735,23246
4/9/2020,8594,2775,23391
4/16/2020,8638,2788.5,23356
4/23/2020,9036.5,2941,24566
4/30/2020,8952,2833.5,23513
5/7/2020,8992.25,2813,23166
5/14/2020,9485.5,2968.5,24519
5/21/2020,9432.5,3035.5,25534
5/28/2020,9684.75,3117.75,26228
6/4/2020,10087.2002,3186,26961
6/11/2020,9994.5,3118,26150
6/18/2020,10010.79981,3049,25393
6/25/2020,10268.79981,3103,25575
7/2/2020,10662.2002,3163.5,25969
7/9/2020,10683.2002,3219.5,26765
7/16/2020,10804.2002,3265.5,26884
7/23/2020,10674.2002,3252.5,26440
7/30/2020,11091.79981,3316,27055
8/6/2020,11126,3370,27866
8/13/2020,11332,3372.75,27632
8/20/2020,11969.5,3480.25,28312
8/27/2020,12041,3517.25,28735
