Date,AAPL,AMZN,FB,GOOG
1/1/2014,0,0,0,0
1/8/2014,0.011758377,-0.001231038,-0.003107666,0.009254949
1/15/2014,0.016720892,0.022661581,0.010186464,0.02181135
1/22/2014,-0.062106591,-0.009044559,-0.047997222,-0.013917391
1/29/2014,-0.057866098,-0.125819629,0.083390921,-0.000614651
2/5/2014,-0.007555071,-0.091048389,0.119647794,0.04506266
2/12/2014,0.011017676,-0.111499146,0.161947606,0.063238713
2/19/2014,-0.033293849,-0.099766329,0.205973764,0.071246717
2/26/2014,-0.016295168,-0.085747318,0.187845397,0.066777288
3/5/2014,-0.007314367,-0.073386408,0.210290063,0.053676493
3/12/2014,-0.015998883,-0.048388338,0.194578805,0.063572344
3/19/2014,0.009165924,-0.108836038,0.120338419,0.017438536
3/26/2014,0.002981209,-0.138281057,0.081146429,-0.002990413
4/2/2014,-0.030738481,-0.178278,0.00466162,-0.024542261
4/9/2014,-0.040885901,-0.205889034,0.020200311,-0.056993006
4/16/2014,-0.015443305,-0.172625159,0.088225158,-0.059858401
4/23/2014,0.096826066,-0.245333252,0.003971064,-0.072357027
4/30/2014,0.100677725,-0.252870372,0.010531786,-0.094436272
5/7/2014,0.099474112,-0.234630516,0.03297659,-0.062881952
5/14/2014,0.119750378,-0.243298237,0.011049776,-0.06871818
5/21/2014,0.158488242,-0.219104068,0.095994513,-0.005117431
5/28/2014,0.180542103,-0.228223996,0.085462727,-0.042050945
6/4/2014,0.221668709,-0.164861933,0.135531755,-0.014610151
6/11/2014,0.19354119,-0.181920971,0.111878526,-0.045443631
6/18/2014,0.170209547,-0.185589014,0.134668565,-0.00745543
6/25/2014,0.212206408,-0.164912153,0.175069067,0.024274581
7/2/2014,0.235926885,-0.18646836,0.083563539,0.003918145
7/9/2014,0.235538051,-0.109514351,0.159703044,0.027983791
7/16/2014,0.227760863,-0.093435176,0.195959934,0.045492474
7/23/2014,0.275201739,-0.196040497,0.27261743,0.029442795
7/30/2014,0.23294569,-0.215335508,0.255006984,-0.006664442
8/6/2014,0.243963365,-0.197748894,0.257424111,-0.010777861
8/13/2014,0.30307007,-0.158028275,0.299896471,0.031640175
8/20/2014,0.30773639,-0.141195418,0.311464116,0.015819119
8/27/2014,0.338974868,-0.139813567,0.323895073,0.014887406
9/3/2014,0.270146571,-0.171544856,0.323722387,0.021356466
9/10/2014,0.307347556,-0.176544454,0.313535991,0.019493148
9/17/2014,0.330419894,-0.186920569,0.351692053,0.021567447
9/24/2014,0.305921723,-0.189910301,0.364640948,0.014940124
10/1/2014,0.279997719,-0.203627838,0.317161665,-0.009002441
10/8/2014,0.279997719,-0.225410148,0.270545555,-0.054356235
10/15/2014,0.32821638,-0.207773314,0.358598148,-0.074396252
10/22/2014,0.38356409,-0.257367543,0.394509665,-0.035089667
10/29/2014,0.407673415,-0.239228202,0.308011129,-0.02593101
11/5/2014,0.421931604,-0.216114336,0.288156139,-0.032646125
11/12/2014,0.496722409,-0.183654514,0.28349445,-0.059471621
11/19/2014,0.524331435,-0.158254378,0.305766568,-0.048836423
11/26/2014,0.485834275,-0.180187426,0.302831519,-0.061721829
12/3/2014,0.479223732,-0.214883298,0.326657435,-0.062389736
12/10/2014,0.383693736,-0.258699096,0.289537372,-0.12915476
12/17/2014,0.458743742,-0.230485115,0.391747303,-0.067276713
12/24/2014,0.45848445,-0.22041055,0.367748683,-0.067575594
12/31/2014,0.377342381,-0.258121223,0.314744555,-0.117605385
1/7/2015,0.428671897,-0.259503076,0.319924027,-0.127766012
1/14/2015,0.409228894,-0.272818625,0.316298353,-0.108921352
1/21/2015,0.414672909,-0.229329446,0.308356382,-0.088301164
1/28/2015,0.537941589,-0.086626664,0.30179566,-0.069649893
2/4/2015,0.581623471,-0.062884705,0.298169969,-0.056114117
2/11/2015,0.656932769,-0.056779655,0.305248629,-0.04574251
2/18/2015,0.713187807,-0.048840547,0.354454415,-0.057608303
2/25/2015,0.676764619,-0.033716087,0.374309405,0.008400807
3/4/2015,0.613898922,-0.071652863,0.338915844,-0.024348818
3/11/2015,0.646692774,-0.065598035,0.37016581,-0.031679338
3/18/2015,0.642156086,-0.060146228,0.472893663,0.002336061
3/25/2015,0.612861936,-0.065145826,0.419544265,-0.036671751
4/1/2015,0.633341925,-0.059342248,0.421270767,-0.055973499
4/8/2015,0.637100919,-0.0324599,0.441988948,-0.067628312
4/15/2015,0.645007753,-0.017209773,0.443715571,-0.061335048
4/22/2015,0.692318983,0.078587039,0.392955849,-0.024014648
4/29/2015,0.630619917,0.058186577,0.339088409,-0.064345796
5/6/2015,0.631527258,0.082883175,0.337361907,-0.067448209
5/13/2015,0.685967719,0.059492983,0.392092538,-0.052782328
5/20/2015,0.680134662,0.068939532,0.369647872,-0.061666421
5/27/2015,0.684541899,0.082807806,0.388812237,-0.049574155
6/3/2015,0.651618296,0.068964681,0.392783163,-0.071590569
6/10/2015,0.653951457,0.073436703,0.399516588,-0.069016953
6/17/2015,0.646563128,0.120493408,0.517265194,-0.047282636
6/24/2015,0.625823938,0.090596179,0.480835635,-0.082484193
7/1/2015,0.629194084,0.097203734,0.505870235,-0.074534288
7/8/2015,0.628157111,0.169685723,0.548342595,-0.010935261
7/15/2015,0.69478179,0.226038241,0.698722417,0.167452491
7/22/2015,0.599251794,0.321583876,0.64520035,0.106991058
7/29/2015,0.485963921,0.336331496,0.62396411,0.109194463
8/5/2015,0.471057605,0.325176553,0.616367511,0.164773222
8/12/2015,0.510073258,0.344170091,0.643128475,0.15657651
8/19/2015,0.344678084,0.171695591,0.433011099,0.026011485
8/26/2015,0.396266892,0.247493933,0.506042921,0.053739108
9/2/2015,0.455762443,0.300253698,0.545752799,0.083476264
9/9/2015,0.507221605,0.312388504,0.603936554,0.119576938
9/16/2015,0.469891077,0.352661923,0.604972414,0.097630993
9/23/2015,0.413635936,0.246313113,0.496374327,0.048768213
9/30/2015,0.442800441,0.350350429,0.602210052,0.137732978
10/7/2015,0.449022241,0.379041845,0.625000108,0.149825245
10/14/2015,0.474686953,0.409140031,0.674723815,0.146264613
10/21/2015,0.484797393,0.535085324,0.790400563,0.248872744
10/28/2015,0.588752611,0.571012234,0.771063632,0.27296916
11/4/2015,0.51357296,0.657362497,0.86308715,0.283827603
11/11/2015,0.473650058,0.616209807,0.81508979,0.278504141
11/18/2015,0.540922784,0.686179498,0.825621575,0.319011625
11/25/2015,0.520961288,0.706052307,0.849447629,0.352080249
12/2/2015,0.532497561,0.701705949,0.838570471,0.343848355
12/9/2015,0.432171599,0.654749684,0.805076081,0.31040952
12/16/2015,0.389915536,0.666080511,0.82165065,0.322043461
12/23/2015,0.409488095,0.743511727,0.851864739,0.368931893
12/30/2015,0.331327234,0.592317111,0.773653428,0.308964074
1/6/2016,0.295681728,0.552370466,0.715642376,0.279861473
1/13/2016,0.252907186,0.443308247,0.644682412,0.237062468
1/20/2016,0.296070576,0.510564534,0.680593912,0.25689312
1/27/2016,0.224650008,0.387081319,0.978763898,0.347867418
2/3/2016,0.231260564,0.211139884,0.718577425,0.195321162
2/10/2016,0.252647881,0.309197742,0.754316376,0.218042708
2/17/2016,0.227372016,0.389191778,0.820787338,0.22659188
2/24/2016,0.30307007,0.454764665,0.896063601,0.267064076
3/2/2016,0.309551071,0.407582372,0.828901997,0.223277949
3/9/2016,0.355566218,0.449689776,0.910738982,0.283845248
3/16/2016,0.383304889,0.408135018,0.938018023,0.305738258
3/23/2016,0.395748398,0.491998057,1.00517961,0.312824446
3/30/2016,0.423357437,0.472602609,0.937500084,0.300538199
4/6/2016,0.43152355,0.515388248,0.909703122,0.309863081
4/13/2016,0.385767709,0.577519347,0.938708648,0.328970956
4/20/2016,0.352584905,0.549832944,0.87776253,0.248255835
4/27/2016,0.233723371,0.686606559,1.027451727,0.220439987
5/4/2016,0.210910221,0.766374416,1.080455873,0.274767174
5/11/2016,0.211817561,0.746777936,1.026070477,0.244888969
5/18/2016,0.268980043,0.76921341,1.032113278,0.269320415
5/25/2016,0.294385554,0.815918347,1.051277661,0.296871702
6/1/2016,0.283627066,0.818305132,1.033149276,0.263256637
6/8/2016,0.263276723,0.807150189,0.984461429,0.266112244
6/15/2016,0.243185684,0.798407177,0.974792834,0.226750571
6/22/2016,0.213113735,0.778634811,0.945787308,0.198723208
6/29/2016,0.231260564,0.829259045,0.971685099,0.225005492
7/6/2016,0.26275823,0.879782991,1.036084324,0.270289892
7/13/2016,0.2945152,0.859030761,1.082355062,0.29905757
7/20/2016,0.253036728,0.848076851,1.09288683,0.30163108
7/27/2016,0.35427003,0.910861038,1.125172656,0.359184081
8/3/2016,0.410395435,0.930281637,1.159185123,0.382434423
8/10/2016,0.417783763,0.919553752,1.128798468,0.369883833
8/17/2016,0.410913915,0.915559164,1.147272225,0.36096445
8/24/2016,0.373972235,0.928447652,1.17265194,0.355693921
8/31/2016,0.3960076,0.981936027,1.239813544,0.375066247
9/7/2016,0.3992481,0.911941341,1.196305307,0.339124266
9/14/2016,0.472094592,0.960203937,1.220994535,0.359783347
9/21/2016,0.465872779,1.050373055,1.221857846,0.380231018
9/28/2016,0.46470625,1.095394898,1.213225249,0.36863226
10/5/2016,0.507480896,1.087782333,1.225138285,0.380336776
10/12/2016,0.522646413,1.054242208,1.219786109,0.401824394
10/19/2016,0.532756762,1.098284037,1.284012389,0.423699759
10/26/2016,0.445133601,0.97324316,1.235842619,0.381288608
11/2/2016,0.43955994,0.979122182,1.144682412,0.393451452
11/9/2016,0.38836007,0.867296415,1.023480681,0.337008975
11/16/2016,0.449151886,0.973042281,1.097203128,0.354248475
11/23/2016,0.444744754,0.91573505,1.086844047,0.358778689
11/30/2016,0.425172105,0.921262148,1.02537987,0.338101855
12/7/2016,0.493093061,0.945431322,1.077175452,0.403305023
12/14/2016,0.51590612,0.937592576,1.05611188,0.403869107
12/21/2016,0.519924406,0.938044936,1.037465574,0.395284647
12/28/2016,0.505536583,0.893500452,1.017610584,0.385748355
1/4/2017,0.543904097,0.999598086,1.146926835,0.418623103
1/11/2017,0.555440266,1.034318953,1.207700404,0.418305825
1/18/2017,0.555051419,1.066276422,1.233598057,0.452255919
