Date,Temp
195001,46.8
195002,51.9
195003,54.1
195004,58.1
195005,58.1
195006,61.2
195007,67.1
195008,64.2
195009,64.4
195010,63.3
195011,59.6
195012,57.3
195101,52.3
195102,51.7
195103,55.2
195104,56.6
195105,58.7
195106,62.8
195107,66.9
195108,65.7
195109,65.7
195110,64.1
195111,59.1
195112,52.3
195201,50.6
195202,55.2
195203,52.4
195204,56.6
195205,60.6
195206,61.2
195207,64.0
195208,66.6
195209,66.1
195210,61.6
195211,56.5
195212,53.6
195301,57.1
195302,55.7
195303,54.7
195304,55.5
195305,60.3
195306,62.4
195307,68.7
195308,65.1
195309,63.6
195310,63.5
195311,59.7
195312,55.0
195401,51.8
195402,59.1
195403,53.5
195404,56.7
195405,59.3
195406,62.7
195407,69.5
195408,68.5
195409,65.6
195410,60.3
195411,60.2
195412,55.3
195501,49.6
195502,52.9
195503,57.0
195504,56.6
195505,58.7
195506,61.6
195507,64.9
195508,68.2
195509,68.1
195510,59.9
195511,57.2
195512,53.3
195601,52.3
195602,49.9
195603,56.1
195604,55.9
195605,60.2
195606,63.6
195607,65.6
195608,66.4
195609,67.3
195610,62.0
195611,63.1
195612,56.1
195701,51.1
195702,56.4
195703,56.2
195704,56.4
195705,59.5
195706,65.8
195707,68.6
195708,69.1
195709,65.3
195710,62.5
195711,56.4
195712,57.1
195801,55.7
195802,56.5
195803,54.2
195804,60.9
195805,62.7
195806,65.2
195807,66.3
195808,69.7
195809,69.1
195810,68.6
195811,58.6
195812,57.8
195901,56.6
195902,53.3
195903,60.0
195904,61.0
195905,60.4
195906,65.8
195907,70.7
195908,70.2
195909,69.1
195910,64.5
195911,62.2
195912,56.8
196001,51.7
196002,53.7
196003,57.2
196004,60.5
196005,62.3
196006,64.7
196007,68.3
196008,66.8
196009,68.3
196010,63.1
196011,56.9
196012,53.9
196101,58.3
196102,57.1
196103,55.2
196104,58.0
196105,59.2
196106,63.4
196107,69.5
196108,68.5
196109,66.5
196110,64.1
196111,57.4
196112,52.4
196201,54.4
196202,52.1
196203,52.0
196204,58.9
196205,58.8
196206,60.8
196207,63.9
196208,66.8
196209,65.2
196210,62.3
196211,58.2
196212,54.9
196301,52.8
196302,58.8
196303,54.7
196304,55.9
196305,60.4
196306,62.9
196307,65.5
196308,68.2
196309,71.5
196310,65.5
196311,59.4
196312,56.6
196401,53.9
196402,54.6
196403,54.6
196404,56.8
196405,57.1
196406,60.8
196407,65.5
196408,68.1
196409,65.4
196410,65.7
196411,57.6
196412,53.8
196501,54.3
196502,53.9
196503,56.1
196504,57.2
196505,59.2
196506,61.5
196507,64.4
196508,70.2
196509,66.7
196510,68.1
196511,59.2
196512,53.8
196601,52.2
196602,51.6
196603,56.2
196604,60.4
196605,62.1
196606,65.2
196607,65.2
196608,69.3
196609,66.9
196610,65.1
196611,59.1
196612,55.1
196701,53.9
196702,56.9
196703,55.8
196704,52.3
196705,60.5
196706,61.0
196707,67.3
196708,70.8
196709,69.9
196710,66.9
196711,62.1
