month,count
1965-01,23
1965-02,29
1965-03,25
1965-04,23
1965-05,31
1965-06,21
1965-07,29
1965-08,29
1965-09,24
1965-10,29
1965-11,26
1965-12,31
1966-01,20
1966-02,25
1966-03,25
1966-04,31
1966-05,27
1966-06,22
1966-07,38
1966-08,20
1966-09,24
1966-10,31
1966-11,25
1966-12,32
1967-01,23
1967-02,23
1967-03,30
1967-04,29
1967-05,26
1967-06,26
1967-07,25
1967-08,31
1967-09,30
1967-10,26
1967-11,25
1967-12,30
1968-01,20
1968-02,28
1968-03,24
1968-04,20
1968-05,20
1968-06,23
1968-07,24
1968-08,30
1968-09,16
1968-10,25
1968-11,26
1968-12,24
1969-01,15
1969-02,22
1969-03,27
1969-04,20
1969-05,34
1969-06,21
1969-07,18
1969-08,29
1969-09,20
1969-10,23
1969-11,23
1969-12,14
1970-01,20
1970-02,21
1970-03,19
1970-04,24
1970-05,21
1970-06,17
1970-07,18
1970-08,26
1970-09,14
1970-10,23
1970-11,22
1970-12,19
1971-01,15
1971-02,21
1971-03,25
1971-04,20
1971-05,19
1971-06,19
1971-07,26
1971-08,21
1971-09,16
1971-10,21
1971-11,24
1971-12,17
1972-01,27
1972-02,18
1972-03,19
1972-04,25
1972-05,17
1972-06,20
1972-07,24
1972-08,20
1972-09,19
1972-10,19
1972-11,22
1972-12,24
1973-01,14
1973-02,28
1973-03,24
1973-04,19
1973-05,12
1973-06,20
1973-07,17
1973-08,19
1973-09,21
1973-10,20
1973-11,23
1973-12,16
1974-01,19
1974-02,26
1974-03,17
1974-04,18
1974-05,18
1974-06,23
1974-07,17
1974-08,23
1974-09,28
1974-10,18
1974-11,27
1974-12,24
1975-01,15
1975-02,22
1975-03,26
1975-04,22
1975-05,21
1975-06,23
1975-07,19
1975-08,26
1975-09,19
1975-10,15
1975-11,26
1975-12,21
1976-01,13
1976-02,23
1976-03,16
1976-04,20
1976-05,22
1976-06,20
1976-07,17
1976-08,19
1976-09,18
1976-10,19
1976-11,17
1976-12,15
1977-01,18
1977-02,18
1977-03,20
1977-04,23
1977-05,18
1977-06,15
1977-07,18
1977-08,18
1977-09,15
1977-10,22
1977-11,19
1977-12,13
1978-01,15
1978-02,19
1978-03,17
1978-04,23
1978-05,17
1978-06,23
1978-07,19
1978-08,21
1978-09,22
1978-10,19
1978-11,19
1978-12,17
1979-01,17
1979-02,19
1979-03,24
1979-04,19
1979-05,19
1979-06,21
1979-07,18
1979-08,20
1979-09,16
1979-10,24
1979-11,21
1979-12,20
1980-01,15
1980-02,21
1980-03,22
1980-04,14
1980-05,21
1980-06,21
1980-07,15
1980-08,19
1980-09,24
1980-10,12
1980-11,26
1980-12,12
1981-01,15
1981-02,19
1981-03,19
1981-04,14
1981-05,24
1981-06,12
1981-07,19
1981-08,20
1981-09,17
1981-10,22
1981-11,16
1981-12,12
1982-01,21
1982-02,17
1982-03,19
1982-04,19
1982-05,24
1982-06,22
1982-07,20
1982-08,18
1982-09,19
1982-10,20
1982-11,20
1982-12,11
1983-01,20
1983-02,14
1983-03,14
1983-04,20
1983-05,17
1983-06,18
1983-07,22
1983-08,16
1983-09,21
1983-10,22
1983-11,22
1983-12,14
1984-01,16
1984-02,20
1984-03,20
1984-04,17
1984-05,22
1984-06,18
1984-07,15
1984-08,19
1984-09,19
1984-10,21
1984-11,16
1984-12,20
1985-01,14
1985-02,18
1985-03,24
1985-04,11
1985-05,19
1985-06,18
1985-07,21
1985-08,17
1985-09,19
1985-10,18
1985-11,24
1985-12,11
1986-01,14
1986-02,17
1986-03,20
1986-04,21
1986-05,20
1986-06,17
1986-07,17
1986-08,21
1986-09,15
1986-10,16
1986-11,25
1986-12,15
1987-01,18
1987-02,15
1987-03,23
1987-04,13
1987-05,22
1987-06,19
1987-07,13
1987-08,21
1987-09,19
1987-10,22
1987-11,17
1987-12,10
1988-01,16
1988-02,21
1988-03,13
1988-04,22
1988-05,18
1988-06,17
1988-07,21
1988-08,13
1988-09,14
1988-10,24
1988-11,16
1988-12,13
1989-01,20
1989-02,14
1989-03,19
1989-04,18
1989-05,19
1989-06,17
1989-07,16
1989-08,16
1989-09,26
1989-10,20
1989-11,16
1989-12,19
1990-01,13
1990-02,19
1990-03,16
1990-04,23
1990-05,15
1990-06,22
1990-07,9
1990-08,19
1990-09,20
1990-10,18
1990-11,18
1990-12,19
1991-01,11
1991-02,16
1991-03,24
1991-04,18
1991-05,14
1991-06,21
1991-07,17
1991-08,17
1991-09,15
1991-10,16
1991-11,20
1991-12,14
1992-01,9
1992-02,20
1992-03,10
1992-04,18
1992-05,15
1992-06,17
1992-07,9
1992-08,17
1992-09,10
1992-10,18
1992-11,15
1992-12,16
1993-01,14
1993-02,13
1993-03,12
1993-04,9
1993-05,16
1993-06,13
1993-07,18
1993-08,10
1993-09,10
1993-10,18
1993-11,11
1993-12,7
1994-01,18
1994-02,8
1994-03,13
1994-04,10
1994-05,20
1994-06,9
1994-07,12
1994-08,15
1994-09,11
1994-10,14
1994-11,13
1994-12,8
1995-01,6
1995-02,11
1995-03,13
1995-04,13
