Date,GOOG
1/1/2014,567.303589
1/8/2014,572.553955
1/15/2014,579.677246
1/22/2014,559.408203
1/29/2014,566.954895
2/5/2014,592.867798
2/12/2014,603.179138
2/19/2014,607.722107
2/26/2014,605.186584
3/5/2014,597.754456
3/12/2014,603.368408
3/19/2014,577.196533
3/26/2014,565.607117
4/2/2014,553.380676
4/9/2014,534.971252
4/16/2014,533.345703
4/23/2014,526.255188
4/30/2014,513.729553
5/7/2014,531.630432
5/14/2014,528.319519
5/21/2014,564.400452
5/28/2014,543.447937
6/4/2014,559.015198
6/11/2014,541.523254
6/18/2014,563.074097
6/25/2014,581.074646
7/2/2014,569.526367
7/9/2014,583.178894
7/16/2014,593.111633
7/23/2014,584.006592
7/30/2014,563.522827
8/6/2014,561.18927
8/13/2014,585.253174
8/20/2014,576.277832
8/27/2014,575.749268
9/3/2014,579.419189
9/10/2014,578.362122
9/17/2014,579.538879
9/24/2014,575.779175
10/1/2014,562.196472
10/8/2014,536.467102
10/15/2014,525.098328
10/22/2014,547.397095
10/29/2014,552.592834
11/5/2014,548.783325
11/12/2014,533.565125
11/19/2014,539.598511
11/26/2014,532.288574
12/3/2014,531.909668
12/10/2014,494.03363
12/17/2014,529.137268
12/24/2014,528.967712
12/31/2014,500.585632
1/7/2015,494.821472
1/14/2015,505.512115
1/21/2015,517.210022
1/28/2015,527.790955
2/4/2015,535.469849
2/11/2015,541.353699
2/18/2015,534.622192
2/25/2015,572.069397
3/4/2015,553.490417
3/11/2015,549.331787
3/18/2015,568.628845
3/25/2015,546.499573
4/1/2015,535.549622
4/8/2015,528.937805
4/15/2015,532.507996
4/22/2015,553.679993
4/29/2015,530.799988
5/6/2015,529.039978
5/13/2015,537.359985
5/20/2015,532.320007
5/27/2015,539.179993
6/3/2015,526.690002
6/10/2015,528.150024
6/17/2015,540.47998
6/24/2015,520.51001
7/1/2015,525.02002
7/8/2015,561.099976
7/15/2015,662.299988
7/22/2015,628
7/29/2015,629.25
8/5/2015,660.780029
